first_author,year,paper_id,title,activity_present
Pringle et al,2017,Pr_2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,aquaculture
Pringle et al,2017,Pr_2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,other
Simal et al,2017,Si_2017,Socio-economic Assessment of a Selected Multi-use Offshore Site in the Atlantic,wind
Simal et al,2017,Si_2017,Socio-economic Assessment of a Selected Multi-use Offshore Site in the Atlantic,wave
Söderqvist,2017,So_2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the North Sea,aquaculture
Söderqvist,2017,So_2017,Socio-economic Analysis of a Selected Multi-use Offshore Site in the North Sea,wind
Xepapadeas et al,2017,Xe_2017,Risk Analysis for the Selected MERMAID Final Designs,aquaculture
Xepapadeas et al,2017,Xe_2017,Risk Analysis for the Selected MERMAID Final Designs,wind
Xepapadeas et al,2017,Xe_2017,Risk Analysis for the Selected MERMAID Final Designs,wave
Astariz and Iglesias,2016,As_2016,Selecting optimum locations for co-located wave and wind energy farms. Part I: The Co-Location Feasibility index,wind
Astariz and Iglesias,2016,As_2016,Selecting optimum locations for co-located wave and wind energy farms. Part I: The Co-Location Feasibility index,wave
Cradden et al,2016,Cr_2016,Multi-criteria site selection for offshore renewable energy platforms,wave
Cradden et al,2016,Cr_2016,Multi-criteria site selection for offshore renewable energy platforms,tidal
Cradden et al,2016,Cr_2016,Multi-criteria site selection for offshore renewable energy platforms,wind
Jansen et al,2016,Ja_2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,aquaculture
Jansen et al,2016,Ja_2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,wind
Jansen et al,2016,Ja_2016,The feasibility of offshore aquaculture and its potential for multi-use in the North Sea,other
Michailides et al,2016,Mi_2016,Experimental and numerical study of the response of the offshore combined wind/wave energy concept SFC in extreme environmental conditions,wind
Michailides et al,2016,Mi_2016,Experimental and numerical study of the response of the offshore combined wind/wave energy concept SFC in extreme environmental conditions,wave
Stelzenmüller et al,2016,Ste_2016,Co-location of passive gear fisheries in offshore wind farms in the German EEZ of the North Sea: A first socio-economic scoping,wind
Stelzenmüller et al,2016,Ste_2016,Co-location of passive gear fisheries in offshore wind farms in the German EEZ of the North Sea: A first socio-economic scoping,wave
Stuiver et al,2016,Stu_2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,aquaculture
Stuiver et al,2016,Stu_2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,wind
Stuiver et al,2016,Stu_2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,wave
Stuiver et al,2016,Stu_2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,tidal
van den Burg et al,2016,vdb_2016,Participatory Design of Multi-Use Platforms at Sea,aquaculture
van den Burg et al,2016,vdb_2016,Participatory Design of Multi-Use Platforms at Sea,wind
van den Burg et al,2016,vdb_2016,Participatory Design of Multi-Use Platforms at Sea,wave
Zanuttigh et al,2016,Za_2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,aquaculture
Zanuttigh et al,2016,Za_2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,wind
Zanuttigh et al,2016,Za_2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,wave
Gimple et al,2015,Gi_2015,A GIS modelling framework to evaluate marine spatial planning scenarios: Co-location of offshore wind farms and aquaculture in the German EEZ,aquaculture
Gimple et al,2015,Gi_2015,A GIS modelling framework to evaluate marine spatial planning scenarios: Co-location of offshore wind farms and aquaculture in the German EEZ,wind
Maisondieu and Heal,2015,Ma_2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,wave
Maisondieu and Heal,2015,Ma_2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,tidal
Maisondieu and Heal,2015,Ma_2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,wind
Maisondieu and Heal,2015,Ma_2015,The impact of the MARINET initiative on the development of Marine Renewable Energy,other
O'Donncha et al,2015,Od_2015,Numerical modelling study of the effects of suspended aquaculture farms on tidal stream energy generation,tidal
O'Donncha et al,2015,Od_2015,Numerical modelling study of the effects of suspended aquaculture farms on tidal stream energy generation,aquaculture
Onea and Rusu,2015,On_2015,Coastal impact of a hybrid marine farm operating close to the Sardina Island,wind
Onea and Rusu,2015,On_2015,Coastal impact of a hybrid marine farm operating close to the Sardina Island,wave
Pérez-Collazo et al,2015,Pe_2015,A review of combined wave and offshore wind energy,wind
Pérez-Collazo et al,2015,Pe_2015,A review of combined wave and offshore wind energy,wave
Wever et al,2015,We_2015,"Lessons from stakeholder dialogues on marine aquaculture in offshore wind farms: Perceived potentials, constraints and research gaps",aquaculture
Wever et al,2015,We_2015,"Lessons from stakeholder dialogues on marine aquaculture in offshore wind farms: Perceived potentials, constraints and research gaps",wind
Zanuttigh et al,2015,Za_2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",aquaculture
Zanuttigh et al,2015,Za_2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",wind
Zanuttigh et al,2015,Za_2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",wave
Zanuttigh et al,2015,Za_2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",tidal
Benassai et al,2014,Be_2014,A Sustainability Index of potential co-location of offshore wind farms and open water aquaculture,aquaculture
Benassai et al,2014,Be_2014,A Sustainability Index of potential co-location of offshore wind farms and open water aquaculture,wind
Christie et al,2014,Ch_2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,aquaculture
Christie et al,2014,Ch_2014,Co-location of activities and designations: A means of solving or creating problems in marine spatial planning?,wind
Macadré et al,2014,Mac_2014,Risk-Based Approach for the Development of Guidelines and Standards on Combined Marine Renewable Energy Platforms,wind
Macadré et al,2014,Mac_2014,Risk-Based Approach for the Development of Guidelines and Standards on Combined Marine Renewable Energy Platforms,wave
Malhouni and Boudi,2014,Mal_2014,Modeling of hybrid system combining an offshore wind turbine and an Oscillating Water Column system,wind
Malhouni and Boudi,2014,Mal_2014,Modeling of hybrid system combining an offshore wind turbine and an Oscillating Water Column system,wave
Azzellino,2013,Az_2013,Optimal siting of offshore wind-power combined with wave energy through a marine spatial planning approach,wind
Azzellino,2013,Az_2013,Optimal siting of offshore wind-power combined with wave energy through a marine spatial planning approach,wave
Shawon et. al,2013,Sh_2013,An Integrated Topology of Hybrid Marine Farm & Wind Farm,wind
Shawon et. al,2013,Sh_2013,An Integrated Topology of Hybrid Marine Farm & Wind Farm,other
Garcia et. al,2011,Ga_2011,Hydro-Wind Kinetics Integrated Module for the Renewable Energy Generation,wind
Garcia et. al,2011,Ga_2011,Hydro-Wind Kinetics Integrated Module for the Renewable Energy Generation,other
Lacroix and Pioch,2011,La_2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,aquaculture
Lacroix and Pioch,2011,La_2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,wind
Lacroix and Pioch,2011,La_2011,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,other
Michler-Cieluch and Krause,2009,Mi_2009,Reflections on integrating operation and maintenance activities of offshore wind farms and maricultur,aquaculture
Michler-Cieluch and Krause,2009,Mi_2009,Reflections on integrating operation and maintenance activities of offshore wind farms and maricultur,wind
Michler-Cieluch and Krause,2008,Mi_2009,Perceived concerns and possible management strategies for governing ‘wind farm–mariculture integration’,aquaculture
Michler-Cieluch and Krause,2008,Mi_2009,Perceived concerns and possible management strategies for governing ‘wind farm–mariculture integration’,wind
Buck et al,2004,Bu_2004,Extensive open ocean aquaculture development within wind farms in Germany: the prospect of offshore co-management and legal constraints,aquaculture
Buck et al,2004,Bu_2004,Extensive open ocean aquaculture development within wind farms in Germany: the prospect of offshore co-management and legal constraints,wind
